"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.373096666E0,6.338868256E0,5.274282074E0,-6.881789246E0,1.074049931E1
1.383113666E0,6.450536041E0,5.371579742E0,-6.681206360E0,1.072855081E1
1.393130667E0,6.237678680E0,5.363646240E0,-6.404132538E0,1.042546161E1
1.403146666E0,5.342689819E0,5.137466583E0,-6.113586731E0,9.608009165E0
1.413163667E0,4.516108704E0,4.856949921E0,-5.854475555E0,8.846472991E0
1.423180666E0,4.463867340E0,4.677323456E0,-5.707930298E0,8.624612143E0
1.433197666E0,4.897066498E0,4.730313263E0,-5.623056793E0,8.830395889E0
1.443213666E0,5.517675934E0,4.742737427E0,-5.407654724E0,9.065375647E0
1.453230666E0,6.139632568E0,4.702770538E0,-5.608536987E0,9.553367257E0
1.463247667E0,6.411467285E0,4.894372101E0,-6.373446350E0,1.028020473E1
1.473264666E0,6.585704956E0,5.183870087E0,-6.510710907E0,1.061288723E1
1.483280667E0,6.436165924E0,5.354664917E0,-6.105802917E0,1.036231139E1
1.493297666E0,6.117927704E0,5.400170288E0,-5.772595825E0,9.995686124E0
1.503314666E0,6.016139374E0,5.438340912E0,-5.997428284E0,1.008655694E1
1.513331667E0,5.886059875E0,5.540578308E0,-6.485563202E0,1.036369813E1
1.523347666E0,6.025719452E0,5.642815704E0,-6.639443207E0,1.059400161E1
1.533364667E0,6.399492188E0,5.587580566E0,-6.527625732E0,1.071375072E1
1.543381666E0,6.638395386E0,5.367238770E0,-6.392307129E0,1.066476140E1
1.553398666E0,6.897207184E0,5.172793121E0,-6.519093475E0,1.080869258E1
1.563414666E0,7.086413727E0,5.138664093E0,-6.643335114E0,1.098895034E1
1.573431666E0,6.719077606E0,5.073399811E0,-6.256389771E0,1.048941383E1
1.583448667E0,5.645659790E0,4.849615173E0,-5.299429779E0,9.136530949E0
1.593465666E0,4.464017029E0,4.564158783E0,-4.556075592E0,7.843265789E0
1.603481667E0,3.878734131E0,4.358187103E0,-4.515959015E0,7.377822112E0
1.613498666E0,4.180805969E0,4.370012512E0,-5.157225494E0,7.948152157E0
1.623515875E0,5.240302734E0,4.688400421E0,-6.211333466E0,9.382032545E0
1.633532875E0,6.474935303E0,5.177732849E0,-7.043453064E0,1.087859990E1
1.643548875E0,7.019353180E0,5.613626404E0,-7.252119141E0,1.154891131E1
1.653565875E0,6.667734375E0,5.789211273E0,-6.779102783E0,1.113237995E1
1.663582875E0,6.107150116E0,5.740412750E0,-5.756878510E0,1.016814984E1
1.673599875E0,5.775290222E0,5.457950134E0,-4.823868713E0,9.295854247E0
1.683615875E0,5.623505859E0,5.020410004E0,-4.052373047E0,8.558625010E0
1.693632875E0,5.553750916E0,4.635410614E0,-3.732787628E0,8.140324580E0
1.703649875E0,5.687422943E0,4.409230957E0,-4.276756439E0,8.371304737E0
